timestamp,key marker
1510192269.0561395,4
1510192269.150207,3
1510192271.095086,5
1510192271.906162,1
1510192274.308767,6
1510192274.845147,6
1510192275.5183272,5
1510192276.155271,2
1510192278.798321,4
1510192279.4212606,1
1510192280.0412173,9
1510192280.8746042,4
1510192284.3582723,2
1510192285.298861,8
1510192286.096927,0
1510192287.0040972,2
1510192288.930208,3
1510192289.5371606,4
1510192290.11057,1
1510192290.7785826,3
1510192293.0068278,7
1510192293.6787095,5
1510192294.5391867,5
1510192295.3469832,0
1510192298.1852891,2
1510192298.8352506,7
1510192299.5212672,4
1510192300.240258,4
1510192303.1485567,5
1510192303.92721,8
1510192304.5576584,9
1510192305.4016497,2
1510192308.1925566,4
1510192309.012663,8
1510192309.6401093,3
1510192310.0764947,6
1510192313.0259235,2
1510192313.7637334,9
1510192314.391662,2
1510192315.2072728,8
1510192318.0260394,8
1510192318.6119554,5
1510192319.4616196,3
1510192320.1421015,7
1510192323.096414,5
1510192323.978239,1
1510192324.8510861,0
1510192325.312894,2
1510192328.1235964,9
1510192328.9501894,2
1510192329.5260925,8
1510192330.5232985,0
1510192333.2547777,0
1510192334.100878,0
1510192334.693325,4
1510192335.119118,5
1510192339.3543465,6
1510192340.3630874,5
1510192341.2372081,6
1510192341.9932418,4
1510192345.391941,3
1510192346.8840265,4
1510192347.9207535,3
1510192348.2104425,5
1510192352.7394392,3
1510192353.3293517,5
1510192354.1779585,1
1510192355.044382,0
1510192358.0620234,6
1510192358.8851156,0
1510192361.1047595,7
1510192361.768545,4
1510192365.3281415,9
1510192366.3688452,3
1510192366.856872,9
1510192368.1908228,0
1510192371.0315645,3
1510192371.5399458,1
1510192372.3805459,5
1510192373.7803535,3
1510192377.4706864,6
1510192378.2812605,9
1510192379.111121,8
1510192379.4500396,7
1510192383.581904,2
1510192384.4089887,3
1510192385.404817,7
1510192386.3442168,6
1510192389.1231427,1
1510192389.9471104,1
1510192390.8482242,9
1510192391.5741398,4
1510192394.089792,9
1510192394.9645073,7
1510192395.6887584,7
1510192396.4445546,7
1510192398.6582024,9
1510192399.9226115,1
1510192400.4494848,8
1510192401.4794037,6
1510192403.571536,1
1510192403.9689128,1
1510192404.8578193,7
1510192405.1757588,8
1510192408.787761,1
1510192409.1014636,8
1510192409.4651892,7
1510192410.018084,2
1510192414.7857065,8
1510192415.6243522,6
1510192416.855732,9
1510192417.461164,9
1510192420.597693,7
1510192421.3452165,8
1510192422.538118,0
1510192423.2612195,0
1510192425.8180459,2
1510192426.4096565,6
1510192427.7866518,6
1510192429.1150758,0
